mes;dia;hora;perfil_usuari;pf
1;8;1;a;0.000103568494681614
1;8;2;a;8.34919984130192e-05
1;8;3;a;7.45497721467782e-05
1;8;4;a;6.99707899750146e-05
1;8;5;a;6.84172747763221e-05
1;8;6;a;7.00826889257145e-05
1;8;7;a;8.19912967339058e-05
1;8;8;a;0.000113120368746314
1;8;9;a;0.000138274613049113
1;8;10;a;0.000155039119984984
1;8;11;a;0.000169639925475694
1;8;12;a;0.000171331791656473
1;8;13;a;0.000172691113192798
1;8;14;a;0.000174661401667989
1;8;15;a;0.000163855257680515
1;8;16;a;0.000154572174840823
1;8;17;a;0.000156248400543245
1;8;18;a;0.000168767210787885
1;8;19;a;0.000187952573179741
1;8;20;a;0.000198707023313213
1;8;21;a;0.000199664633726885
1;8;22;a;0.000191864101535888
1;8;23;a;0.000167641735009092
1;8;24;a;0.000134879115441874
1;5;1;a;9.79132234762313e-05
1;5;2;a;8.00118633236946e-05
1;5;3;a;7.02441390586821e-05
1;5;4;a;6.59091952196989e-05
1;5;5;a;6.40734098231233e-05
1;5;6;a;6.4973918265737e-05
1;5;7;a;7.43536722267355e-05
1;5;8;a;9.98758543837154e-05
1;5;9;a;0.000120373401513594
1;5;10;a;0.000137880214919855
1;5;11;a;0.000153904528094414
1;5;12;a;0.000157765875652852
1;5;13;a;0.000158655135766284
1;5;14;a;0.000160508678249309
1;5;15;a;0.000151231762209686
1;5;16;a;0.000140399218459978
1;5;17;a;0.00014056498140145
1;5;18;a;0.000149897073171437
1;5;19;a;0.000167180096527561
1;5;20;a;0.000178178429230254
1;5;21;a;0.000180187456079153
1;5;22;a;0.0001761600453602
1;5;23;a;0.000154464096574747
1;5;24;a;0.00012576579461361
1;24;1;a;0.000114894950889078
1;24;2;a;9.33413373250831e-05
1;24;3;a;8.02590660194712e-05
1;24;4;a;7.34998229170669e-05
1;24;5;a;7.08621551258704e-05
1;24;6;a;7.13264397918938e-05
1;24;7;a;7.59402725654613e-05
1;24;8;a;8.65607894630226e-05
1;24;9;a;0.000106692882853912
1;24;10;a;0.000138225669638808
1;24;11;a;0.000163022585903394
1;24;12;a;0.000169803781679651
1;24;13;a;0.000173478931923214
1;24;14;a;0.000178305019066834
1;24;15;a;0.000172275850602531
1;24;16;a;0.000156170805857102
1;24;17;a;0.00014785494113912
1;24;18;a;0.000149744719043451
1;24;19;a;0.000164559579505182
1;24;20;a;0.000174634741193366
1;24;21;a;0.000179251449003468
1;24;22;a;0.000178869640925229
1;24;23;a;0.00016315512317586
1;24;24;a;0.00013906133364939
1;18;1;a;0.000116652546866581
1;18;2;a;9.59960662892284e-05
1;18;3;a;8.26585467523233e-05
1;18;4;a;7.53744460174168e-05
1;18;5;a;7.18210923273067e-05
1;18;6;a;7.17389158172947e-05
1;18;7;a;7.52291036079807e-05
1;18;8;a;8.19862219005921e-05
1;18;9;a;9.53239191781879e-05
1;18;10;a;0.000121820162468189
1;18;11;a;0.000147991304660019
1;18;12;a;0.000161296890579402
1;18;13;a;0.000165905469569887
1;18;14;a;0.000168843741093622
1;18;15;a;0.000169557641697859
1;18;16;a;0.000154104429265831
1;18;17;a;0.000145858112396216
1;18;18;a;0.000147630050852783
1;18;19;a;0.000163694691200277
1;18;20;a;0.000175013132741412
1;18;21;a;0.000185599606211868
1;18;22;a;0.000186550420062264
1;18;23;a;0.000164807761690701
1;18;24;a;0.000135072452520076
1;21;1;a;0.000106260393080413
1;21;2;a;8.5665799656889e-05
1;21;3;a;7.63967291937867e-05
1;21;4;a;7.17284252573893e-05
1;21;5;a;7.01492939500405e-05
1;21;6;a;7.17636449849259e-05
1;21;7;a;8.39520633067426e-05
1;21;8;a;0.000115680690266526
1;21;9;a;0.000141236247914745
1;21;10;a;0.000158800075942425
1;21;11;a;0.000173654726992409
1;21;12;a;0.000175661517452152
1;21;13;a;0.000177434973616823
1;21;14;a;0.000179801732014342
1;21;15;a;0.000169085282901693
1;21;16;a;0.000159579647449744
1;21;17;a;0.000161587890928911
1;21;18;a;0.000174508409063084
1;21;19;a;0.000192954802999534
1;21;20;a;0.000203946328489139
1;21;21;a;0.000204799707199552
1;21;22;a;0.000196739418106399
1;21;23;a;0.000171978756392144
1;21;24;a;0.000138551105509914
1;22;1;a;0.000106420598551343
1;22;2;a;8.57445164947776e-05
1;22;3;a;7.6495430329023e-05
1;22;4;a;7.18373961977269e-05
1;22;5;a;7.02273408094249e-05
1;22;6;a;7.1855301868085e-05
1;22;7;a;8.39674944735129e-05
1;22;8;a;0.000115414453296764
1;22;9;a;0.000140498521843838
1;22;10;a;0.000157834195618347
1;22;11;a;0.000172780888720415
1;22;12;a;0.000174550131379287
1;22;13;a;0.000176555537737153
1;22;14;a;0.000178748284562874
1;22;15;a;0.000168179079272282
1;22;16;a;0.000158390821768097
1;22;17;a;0.000160407163820483
1;22;18;a;0.000173080799987896
1;22;19;a;0.000191608556794048
1;22;20;a;0.000203006800048679
1;22;21;a;0.00020382429431238
1;22;22;a;0.000195982886060306
1;22;23;a;0.000171382598498231
1;22;24;a;0.000138115840214511
1;9;1;a;0.000106244903528271
1;9;2;a;8.43303325988892e-05
1;9;3;a;7.47575193353787e-05
1;9;4;a;6.99005532725412e-05
1;9;5;a;6.87837451444004e-05
1;9;6;a;7.05838929821529e-05
1;9;7;a;8.34874578645962e-05
1;9;8;a;0.000115543842463164
1;9;9;a;0.00014390660149796
1;9;10;a;0.00016259884764144
1;9;11;a;0.000177251471660903
1;9;12;a;0.000177040865738135
1;9;13;a;0.00017725857005652
1;9;14;a;0.000177852205229083
1;9;15;a;0.000166657834498787
1;9;16;a;0.000158032323160306
1;9;17;a;0.000157953505537762
1;9;18;a;0.000167172318484559
1;9;19;a;0.000184124540632693
1;9;20;a;0.000192836303453428
1;9;21;a;0.000191803536065216
1;9;22;a;0.000185068822088506
1;9;23;a;0.000166565342237616
1;9;24;a;0.000140077227994195
1;2;1;a;9.72590902673023e-05
1;2;2;a;7.69165735536034e-05
1;2;3;a;6.79164808476605e-05
1;2;4;a;6.32722555618742e-05
1;2;5;a;6.20973040522079e-05
1;2;6;a;6.37926506219177e-05
1;2;7;a;7.53038324326526e-05
1;2;8;a;0.000102908698152258
1;2;9;a;0.000128324340762134
1;2;10;a;0.000147700595133856
1;2;11;a;0.000162891272209917
1;2;12;a;0.00016323724258291
1;2;13;a;0.000163565526406708
1;2;14;a;0.00016502249762729
